[2025-04-22 15:44:17] 44m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-fs2zd
[2025-04-22 15:44:17] 44m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-fs2zd          Successfully assigned default/nginx-basic-76dd66bf4f-fs2zd to worker7
[2025-04-22 15:44:17] 44m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-fs2zd          Pulling image "nginx:latest"
[2025-04-22 15:44:17] 44m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-fs2zd          Successfully pulled image "nginx:latest" in 891ms (891ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:44:17] 44m         Normal    Created                        pod/nginx-basic-76dd66bf4f-fs2zd          Created container nginx
[2025-04-22 15:44:17] 44m         Normal    Started                        pod/nginx-basic-76dd66bf4f-fs2zd          Started container nginx
[2025-04-22 15:44:17] 43m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:44:17] 43m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:44:17] 26m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-fs2zd          Stopping container nginx
[2025-04-22 15:44:17] 21m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:44:17] 21m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-rbs25
[2025-04-22 15:44:17] 21m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-rbs25          Successfully assigned default/nginx-basic-76dd66bf4f-rbs25 to worker7
[2025-04-22 15:44:17] 21m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-rbs25          Pulling image "nginx:latest"
[2025-04-22 15:44:17] 21m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rbs25          Successfully pulled image "nginx:latest" in 849ms (849ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:44:17] 21m         Normal    Created                        pod/nginx-basic-76dd66bf4f-rbs25          Created container nginx
[2025-04-22 15:44:17] 21m         Normal    Started                        pod/nginx-basic-76dd66bf4f-rbs25          Started container nginx
[2025-04-22 15:44:17] 21m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:44:17] 21m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:44:17] 6m1s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-rbs25          Stopping container nginx
[2025-04-22 15:44:17] 61s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:44:17] 61s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmstg
[2025-04-22 15:44:17] 60s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmstg          Successfully assigned default/nginx-basic-76dd66bf4f-gmstg to worker7
[2025-04-22 15:44:17] 60s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmstg          Pulling image "nginx:latest"
[2025-04-22 15:44:17] 59s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmstg          Successfully pulled image "nginx:latest" in 851ms (851ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:44:17] 59s         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmstg          Created container nginx
[2025-04-22 15:44:17] 59s         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmstg          Started container nginx
[2025-04-22 15:44:17] 46s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:44:17] 46s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:44:27] 49m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-4np5v          Stopping container nginx
[2025-04-22 15:44:27] 44m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:44:27] 44m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-fs2zd
[2025-04-22 15:44:27] 44m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-fs2zd          Successfully assigned default/nginx-basic-76dd66bf4f-fs2zd to worker7
[2025-04-22 15:44:27] 44m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-fs2zd          Pulling image "nginx:latest"
[2025-04-22 15:44:27] 44m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-fs2zd          Successfully pulled image "nginx:latest" in 891ms (891ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:44:27] 44m         Normal    Created                        pod/nginx-basic-76dd66bf4f-fs2zd          Created container nginx
[2025-04-22 15:44:27] 44m         Normal    Started                        pod/nginx-basic-76dd66bf4f-fs2zd          Started container nginx
[2025-04-22 15:44:27] 44m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:44:27] 44m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 15:44:27] 26m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-fs2zd          Stopping container nginx
[2025-04-22 15:44:27] 21m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:44:27] 21m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-rbs25
[2025-04-22 15:44:27] 21m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-rbs25          Successfully assigned default/nginx-basic-76dd66bf4f-rbs25 to worker7
[2025-04-22 15:44:27] 21m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-rbs25          Pulling image "nginx:latest"
[2025-04-22 15:44:27] 21m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rbs25          Successfully pulled image "nginx:latest" in 849ms (849ms including waiting). Image size: 72403299 bytes.
[2025-04-22 15:44:27] 21m         Normal    Created                        pod/nginx-basic-76dd66bf4f-rbs25          Created container nginx
[2025-04-22 15:44:27] 21m         Normal    Started                        pod/nginx-basic-76dd66bf4f-rbs25          Started container nginx
[2025-04-22 15:44:27] 21m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:44:27] 21m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 15:44:27] 6m11s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-rbs25          Stopping container nginx
[2025-04-22 15:44:27] 71s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 15:44:27] 71s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmstg
[2025-04-22 15:44:27] 70s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmstg          Successfully assigned default/nginx-basic-76dd66bf4f-gmstg to worker7
